pon_codigo,LinkMapa
11,"-23.51353750, -46.79642820"
12,"-23.51353750, -46.79642820"
13,"-23.51289520, -46.79790860"
14,"-23.51289520, -46.79790860"
15,"-23.51248950, -46.79931420"
16,"-23.51248950, -46.79931420"
17,"-23.51270000, -46.79852120"
18,"-23.51270000, -46.79852120"
21,"-23.51139920, -46.80281370"
22,"-23.51139920, -46.80281370"
23,"-23.51067580, -46.80539980"
24,"-23.51067580, -46.80539980"
26,"-23.50621370, -46.89523950"
28,"-23.51928350, -46.95276770"
29,"-23.51933800, -46.95214830"
31,"-23.49218360, -46.98721620"
32,"-23.47778150, -46.99882260"
42,"-23.43450750, -47.12229610"
43,"-23.42089390, -47.17869540"
44,"-23.42067100, -47.18238890"
47,"-23.41889330, -47.21207760"
48,"-23.40635590, -47.29791810"
49,"-23.40209610, -47.32756730"
52,"-23.29093590, -47.74104500"
53,"-23.28317190, -47.79683800"
55,"-23.75207040, -46.59475780"
56,"-23.75323230, -46.59431430"
58,"-23.80270820, -46.58999870"
59,"-23.80445630, -46.58920100"
60,"-23.80834950, -46.58720390"
61,"-23.81140710, -46.58580650"
74,"-23.56007080, -47.84022340"
88,"-23.46386870, -47.41477700"
114,"-23.48335210, -47.97504840"
116,"-23.53617140, -47.96429900"
120,"-23.29772500, -46.84138970"
121,"-23.22883500, -46.89945700"
160,"-23.53617140, -47.96429900"
161,"-22.78168300, -47.23178520"
162,"-23.25807100, -47.87337940"
264,"-23.48876610, -46.98971990"
266,"-23.11320630, -46.95774150"
269,"-23.42309030, -47.15404640"
283,"-23.35649510, -47.88091930"
288,"-23.71603180, -46.60524320"
289,"-23.71603180, -46.60524320"
310,"-23.15067060, -48.39136120"
314,"-23.60252500, -48.04402560"
315,"-23.32728540, -47.83898730"
334,"-23.20150480, -46.92742250"
335,"-23.19910770, -46.92824340"
336,"-23.50368080, -47.41251910"
339,"-23.40398170, -47.31762220"
340,"-23.75711280, -45.85856370"
341,"-23.75699370, -45.85762060"
343,"-23.76913700, -46.53406620"
344,"-23.76819500, -46.53429700"
348,"-23.48373000, -46.99380820"
354,"-23.50975910, -47.55182920"
356,"-22.78168300, -47.23178520"
359,"-23.28353750, -47.32867860"
361,"-23.40452290, -47.31357930"
364,"-23.05329070, -47.14449810"
378,"-23.55727900, -47.80707790"
382,"-23.35437060, -47.50745140"
384,"-23.31804520, -47.62296140"
392,"-23.27547090, -46.58552400"
394,"-23.30115130, -46.84098510"
395,"-23.24872970, -46.86604020"
396,"-23.25065130, -46.86582730"
397,"-23.10796170, -46.96114160"
398,"-23.34673280, -46.04402890"
406,"-23.24628720, -48.04539110"
429,"-23.15464890, -46.88354270"
431,"-23.25258280, -47.95103090"
448,"-23.50975910, -47.55182920"
453,"-22.74415710, -47.01954240"
455,"-23.50993140, -47.41962020"
457,"-23.10087400, -47.19635600"
458,"-23.50519420, -47.41424550"
459,"-23.41955200, -47.25076300"
463,"-23.35879970, -47.30686740"
466,"-23.26198660, -47.28821950"
467,"-23.26219750, -47.28894300"
474,"-23.25367240, -47.30521200"
475,"-23.25447970, -47.30502480"
476,"-23.26570630, -47.28067630"
477,"-23.26536510, -47.28126930"
479,"-23.37944870, -47.32734370"
485,"-23.37944870, -47.32734370"
486,"-23.80528600, -46.58893320"
487,"-23.49544930, -46.98497170"
498,"-23.41835390, -47.34892280"
499,"-23.47297310, -47.38085460"
510,"-23.55536390, -47.10916770"
511,"-23.55038760, -47.48468830"
512,"-23.35708290, -47.32581050"
523,"-23.49033380, -46.98850000"
524,"-23.26006280, -47.32299570"
528,"-22.53908470, -48.86011070"
529,"-22.32596640, -47.38946420"
530,"-21.92581130, -48.02650370"
531,"-22.99864800, -46.51807840"
532,"-24.45290230, -47.81081700"
533,"-20.61466120, -51.06347740"
535,"-22.54782830, -46.65861810"
538,"-23.59648420, -47.96180810"
540,"-23.01587560, -47.11871130"
541,"-22.92546080, -47.01096090"
544,"-23.51696620, -46.92953370"
546,"-23.28381480, -47.32873520"
549,"-23.46386870, -47.41477700"
550,"-23.48009870, -47.44128830"
551,"-23.47896450, -47.44150340"
552,"-23.53149680, -47.46505830"
553,"-23.53149680, -47.46505830"
554,"-23.47981550, -47.44003930"
555,"-23.48438180, -47.38825880"
557,"-23.40331070, -47.31938670"
558,"-23.30149360, -46.02157870"
559,"-23.18191290, -45.72809600"
560,"-23.47445940, -47.43348650"
567,"-23.72815150, -46.80820530"
568,"-23.40765160, -47.29175300"
572,"-23.40980150, -47.34053370"
573,"-21.92720480, -48.02503810"
734,"-23.53182180, -47.47642880"
786,"-23.30817410, -47.65240550"
787,"-23.30817410, -47.65240550"
801,"-23.40476240, -47.31210960"
806,"-22.69934070, -50.28422730"
807,"-22.21634200, -49.83991790"
808,"-23.60166300, -48.04204110"
809,"-22.21634200, -49.83991790"
810,"-22.21634200, -50.28422730"
812,"-23.35518110, -47.50566190"
813,"-21.01986240, -47.66692720"
815,"-20.54348280, -48.62048480"
816,"-23.44516600, -46.44993600"
817,"-23.44516600, -46.44993600"
818,"-23.44475000, -46.44906600"
819,"-23.44475000, -46.44906600"
820,"-23.37190010, -47.44780070"
556,"-23.51831760, -47.46435630"